股票代码,公司名称,苏州注册地,行业,E得分,S得分,G得分,预期收益率,波动率
002384,东山精密,吴中区,电子信息,72,68,75,0.11,0.16
600487,亨通光电,吴江区,光通信,85,78,82,0.13,0.14
002438,江苏神通,张家港市,高端装备,78,75,80,0.09,0.12
601512,中新集团,工业园区,园区开发,80,85,88,0.08,0.1
002079,苏州固锝,姑苏区,半导体,70,65,72,0.15,0.18
603112,邦宝益智,昆山市,文教用品,65,70,73,0.07,0.11
002127,南极电商,吴中区,电商,68,72,70,0.1,0.15
600736,苏州高新,高新区,房地产,75,80,83,0.06,0.09
002739,万达电影,工业园区,影视,62,68,70,0.08,0.13
300102,乾照光电,工业园区,LED照明,71,69,74,0.12,0.17
002081,金螳螂,相城区,建筑装饰,76,73,78,0.07,0.1
600200,江苏吴中,吴中区,医药,82,79,81,0.14,0.16
002643,万润科技,吴中区,电子,69,66,71,0.09,0.14
600305,恒顺醋业,吴江区,食品,83,81,84,0.05,0.08
600794,保税科技,张家港市,物流,74,77,79,0.06,0.11
002391,长青股份,常熟市,农药,67,64,69,0.08,0.12
603330,上海天洋,太仓市,新材料,79,76,80,0.11,0.15
002806,华锋股份,昆山市,有色金属,66,63,68,0.1,0.17
300328,宜安科技,工业园区,新材料,80,78,82,0.13,0.14
002916,深南电路,昆山市,印制电路板,84,80,85,0.12,0.13
603893,瑞芯微,工业园区,芯片,86,82,87,0.16,0.19
002156,通富微电,崇川区,半导体,81,77,80,0.14,0.18
600527,江南高纤,相城区,化纤,68,65,70,0.07,0.1
002463,沪电股份,昆山市,印制电路板,77,74,79,0.09,0.12
300476,胜宏科技,工业园区,印制电路板,82,79,83,0.11,0.15
603986,兆易创新,工业园区,存储芯片,88,85,89,0.18,0.2
002091,江苏国泰,张家港市,贸易,75,78,81,0.08,0.11
600406,国电南瑞,工业园区,电力设备,87,83,88,0.1,0.12
002579,中京电子,吴江区,电子元件,70,67,72,0.09,0.14
600884,杉杉股份,工业园区,锂电池,83,80,84,0.15,0.17
